objectid,filename,title,description,subject,location,source,format,language,time to make,,Rights
angolatext_1,doce_de_limao_recipe.txt,Doce de Limão Recipe,,Recipe,Angola,Sabores de Angola,txt,en,,,
angolatext_2,bolo_de_mandioca_recipe.txt,Bolo De Mandioca Recipe,,Recipe,Angola,Sabores de Angola,txt,en,,,
angolatext_3,bolo_de_fuba_recipe.txt,Bolo De Fuba Recipe,,Recipe,Angola,Sabores de Angola,txt,en,,,
angolatext_4,bolo_de_batata_doce_recipe.txt,Bolo De Batata-Doce Recipe,,Recipe,Angola,Sabores de Angola,txt,en,,,
angolatext_5,bolo_de_abacaxi_recipe.txt,Bolo De Abacaxi Recipe,,Recipe,Angola,Sabores de Angola,txt,en,,,
angolatext_6,bolo_com_ginguba_recipe.txt,Bolo Com Ginguba Recipe,,Recipe,Angola,Sabores de Angola,txt,en,,,
angolatext_7,bananas_no_forno_recipe.txt,Bananas No Forno Recipe,,Recipe,Angola,Sabores de Angola,txt,en,,,
algeria_1,tcharak.png,Tcharak,"Almond cookies, also known as ""Gazelles' Horns"".",,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"30 minutes, plus 1.5hr prep",,
algeria_2,mhalbi.png,M'Halbi,"Rice cakes, sweetened with orange blossom water.",,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"15 minutes, plus 20 minutes prep",,
algeria_3,knidlat.png,K'nidlat,Sugar turnovers with almond paste.,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"30 minutes, plus 1 hour prep",,
algeria_4,diouls.png,Diouls,Semolina crepes.,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"15 minutes, plus 40 minutes prep",,
algeria_5,bradj.png,Bradj,Semolina diamond pastries with dates.,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"1 hour, plus 45 minutes prep",,
algeria_6,boussou_la_tmessou.png,Boussou La T'Messou,A cake sweetened with orange blossom water.,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"20 minutes, plus 30 minutes prep",,
algeria_7,baklawa.png,Baklawa,Baklava.,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"1 hour, plus 1.5 hours prep",,
algeriatext_1,tcharak_recipe.txt,Tcharak Recipe,,Recipe,Algeria,Grandes Recettes De La Cuisine Algerienne,txt,en,,,
algeriatext_2,mhalbi_recipe.txt,M'Halbi Recipe,,Recipe,Algeria,Grandes Recettes De La Cuisine Algerienne,txt,en,,,
algeriatext_3,knidlat_recipe.txt,K'nidlat Recipe,,Recipe,Algeria,Grandes Recettes De La Cuisine Algerienne,txt,en,,,
algeriatext_4,diouls_recipe.txt,Diouls Recipe,,Recipe,Algeria,Grandes Recettes De La Cuisine Algerienne,txt,en,,,
algeriatext_5,bradj_recipe.txt,Bradj Recipe,,Recipe,Algeria,Grandes Recettes De La Cuisine Algerienne,txt,en,,,
algeriatext_6,boussou_recipe.txt,Boussou La T'Messou Recipe,,Recipe,Algeria,Grandes Recettes De La Cuisine Algerienne,txt,en,,,
algeriatext_7,baklawa_recipe.txt,Baklawa Recipe,,Recipe,Algeria,Grandes Recettes De La Cuisine Algerienne,txt,en,,,
german_1,zucker_streubelein.png,Zŭcker Streŭbelein,Sugar Streussel.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1748,image/png,de,Not Provided,,
german_2,zucker_brezen_zu_mach.png,Zŭcker Brezen zu Mach,Sugar pretzels.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1749,image/png,de,Not Provided,,
german_3,weis_mandl_lebkuch.png,Weyß Mandl Lebkŭch,White almond gingerbread.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1750,image/png,de,Not Provided,,
german_4,oblath_krapfen.png,Oblath Krapfen,Filled donuts.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1751,image/png,de,Not Provided,,
german_5,schockolade_pistacchi.png,Die Schockolade Pistacchi,"Chocolate ""pistachios""",,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1752,image/png,de,Not Provided,,
german_6,andere_lebkuch.png,Andere Lebkŭchen,"""Another gingerbread"".",,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1753,image/png,de,Not Provided,,
germantext_1,sugar_streusel_recipe.txt,Zŭcker Streŭbelein Recipe,,Recipe,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1754,txt,en,Not Provided,,
germantext_2,sugar_pretzels_recipe.txt,Zŭcker Brezen zu Mach Recipe,,Recipe,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1755,txt,en,Not Provided,,
germantext_3,filled_donuts_recipe.txt,Oblath Krapfen Recipe,,Recipe,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1756,txt,en,Not Provided,,
germantext_4,chocolate_pistachios_recipe.txt,Die Schockolade Pistacchi Recipe,,Recipe,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1757,txt,en,Not Provided,,
germantext_5,white_almond_gingerbread_recipe.txt,Weyß Mandl Lebkŭch Recipe,,Recipe,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1758,txt,en,Not Provided,,
germantext_6,another_gingerbread_recipe.txt,Andere Lebkuchen Recipe,,Recipe,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1759,txt,en,Not Provided,,
